Movie_Name,Rating,Genre,Year,Rating_Score,Votes,Director,Star,Country,Budget,Gross,Company,Release_date
The Shining,R,Drama,1980,8.4,927000,Stanley Kubrick,Jack Nicholson,United Kingdom,19000000,46998772,Warner Bros.,13/06/1980
The Blue Lagoon,R,Adventure,1980,5.8,65000,Randal Kleiser,Brooke Shields,United States,4500000,58853106,Columbia Pictures,02/07/1980
Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980,8.7,1200000,Irvin Kershner,Mark Hamill,United States,18000000,538375067,Lucasfilm,20/06/1980
Airplane!,PG,Comedy,1980,7.7,221000,Jim Abrahams,Robert Hays,United States,3500000,83453539,Paramount Pictures,02/07/1980
Caddyshack,R,Comedy,1980,7.3,108000,Harold Ramis,Chevy Chase,United States,6000000,39846344,Orion Pictures,25/07/1980
Friday the 13th,R,Horror,1980,6.4,123000,Sean S. Cunningham,Betsy Palmer,United States,550000,39754601,Paramount Pictures,09/05/1980
The Blues Brothers,R,Action,1980,7.9,188000,John Landis,John Belushi,United States,27000000,115229890,Universal Pictures,20/06/1980
Raging Bull,R,Biography,1980,8.2,330000,Martin Scorsese,Robert De Niro,United States,18000000,23402427,Chartoff-Winkler Productions,19/12/1980
Superman II,PG,Action,1980,6.8,101000,Richard Lester,Gene Hackman,United States,54000000,108185706,Dovemead Films,19/06/1981
The Long Riders,R,Biography,1980,7,10000,Walter Hill,David Carradine,United States,10000000,15795189,United Artists,16/05/1980
Any Which Way You Can,PG,Action,1980,6.1,18000,Buddy Van Horn,Clint Eastwood,United States,15000000,70687344,The Malpaso Company,17/12/1980
The Gods Must Be Crazy,PG,Adventure,1980,7.3,54000,Jamie Uys,N!xau,South Africa,5000000,30031783,C.A.T. Films,26/10/1984
Popeye,PG,Adventure,1980,5.3,30000,Robert Altman,Robin Williams,United States,20000000,49823037,Paramount Pictures,12/12/1980
Ordinary People,R,Drama,1980,7.7,49000,Robert Redford,Donald Sutherland,United States,6000000,54766923,Paramount Pictures,19/09/1980
Dressed to Kill,R,Crime,1980,7.1,37000,Brian De Palma,Michael Caine,United States,6500000,31899000,Filmways Pictures,25/07/1980
Somewhere in Time,PG,Drama,1980,7.2,27000,Jeannot Szwarc,Christopher Reeve,United States,5100000,9709597,Rastar Pictures,03/10/1980
Fame,R,Drama,1980,6.6,21000,Alan Parker,Eddie Barth,United States,20500000,21202829,Metro-Goldwyn-Mayer (MGM),16/05/1980
9 to 5,PG,Comedy,1980,6.9,29000,Colin Higgins,Jane Fonda,United States,10000000,103300686,IPC Films,19/12/1980
The Fog,R,Horror,1980,6.8,66000,John Carpenter,Adrienne Barbeau,United States,1000000,21448782,AVCO Embassy Pictures,08/02/1980
Stir Crazy,R,Comedy,1980,6.8,26000,Sidney Poitier,Gene Wilder,United States,20500000,101300000,Columbia Pictures,12/12/1980
Cruising,R,Crime,1980,6.5,20000,William Friedkin,Al Pacino,West Germany,11000000,19814523,Lorimar Film Entertainment,15/02/1980
Heaven's Gate,R,Adventure,1980,6.8,14000,Michael Cimino,Kris Kristofferson,United States,44000000,3484523,Partisan Productions,24/04/1981
The Final Countdown,PG,Action,1980,6.7,22000,Don Taylor,Kirk Douglas,United States,12000000,16647800,Bryna Productions,01/08/1980
Xanadu,PG,Fantasy,1980,5.3,12000,Robert Greenwald,Olivia Newton-John,United States,20000000,22762571,Universal Pictures,08/08/1980
Urban Cowboy,PG,Drama,1980,6.4,14000,James Bridges,John Travolta,United States,20500000,46918287,Paramount Pictures,06/06/1980
Altered States,R,Horror,1980,6.9,33000,Ken Russell,William Hurt,United States,20500000,19853892,Warner Bros.,25/12/1980
Little Darlings,R,Comedy,1980,6.5,5100,Ron Maxwell,Tatum O'Neal,United States,20500000,34326249,Stephen Friedman/Kings Road Productions,21/03/1980
Raise the Titanic,PG,Action,1980,5,4100,Jerry Jameson,Jason Robards,United Kingdom,36000000,20205757,ITC Films,01/08/1980
Brubaker,R,Crime,1980,7.2,17000,Stuart Rosenberg,Robert Redford,United States,9000000,37121708,Twentieth Century Fox,20/06/1980
American Gigolo,R,Crime,1980,6.2,22000,Paul Schrader,Richard Gere,United States,4800000,22743674,Paramount Pictures,01/02/1980
My Bodyguard,PG,Comedy,1980,7.1,8900,Tony Bill,Chris Makepeace,United States,20500000,22482952,Twentieth Century Fox,26/09/1980
Prom Night,R,Horror,1980,5.4,16000,Paul Lynch,Leslie Nielsen,Canada,20500000,14796236,Guardian Trust Company,18/07/1980
Smokey and the Bandit II,PG,Action,1980,5.3,15000,Hal Needham,Burt Reynolds,United States,20500000,66132626,Universal Pictures,15/08/1980
Cattle Annie and Little Britches,PG,Drama,1980,6.1,604,Lamont Johnson,Scott Glenn,United States,5100000,534816,Cattle Annie Productions,24/04/1981
Seems Like Old Times,PG,Comedy,1980,6.7,9100,Jay Sandrich,Goldie Hawn,United States,20500000,43995918,Rastar Films,19/12/1980
Private Benjamin,R,Comedy,1980,6.2,24000,Howard Zieff,Goldie Hawn,United States,10000000,69847348,Warner Bros.,10/10/1980
The Hollywood Knights,R,Comedy,1980,6.3,4300,Floyd Mutrux,Tony Danza,United States,4000000,10000000,PolyGram Filmed Entertainment,30/05/1980
Motel Hell,R,Comedy,1980,6,11000,Kevin Connor,Rory Calhoun,United States,3000000,6342668,Camp Hill,24/10/1980
The Jazz Singer,PG,Drama,1980,5.9,4000,Richard Fleischer,Laurence Olivier,United States,20500000,27118000,EMI Films,19/12/1980
Coal Miner's Daughter,PG,Biography,1980,7.5,17000,Michael Apted,Sissy Spacek,United States,20500000,67182787,Universal Pictures,07/03/1980
The Watcher in the Woods,PG,Family,1980,6.3,5700,John Hough,Bette Davis,United States,20500000,5000000,Walt Disney Productions,09/10/1981
Breaker Morant,PG,Drama,1980,7.9,13000,Bruce Beresford,Edward Woodward,Australia,20500000,20205757,The South Australian Film Corporation,03/07/1980
The Stunt Man,R,Action,1980,7.1,9000,Richard Rush,Peter O'Toole,United States,3500000,7063886,Melvin Simon Productions,27/06/1980
Where the Buffalo Roam,R,Biography,1980,6.6,11000,Art Linson,Peter Boyle,United States,20500000,6659377,Universal Pictures,25/04/1980
The Awakening,R,Horror,1980,4.8,2000,Mike Newell,Charlton Heston,United Kingdom,20500000,8415112,EMI Films,31/10/1980
Cheech and Chong's Next Movie,R,Comedy,1980,6.1,12000,Tommy Chong,Cheech Marin,United States,20500000,41675194,Universal Pictures,18/07/1980
The Island,R,Action,1980,5.3,3900,Michael Ritchie,Michael Caine,United States,22000000,15716828,Universal Pictures,13/06/1980
The Boogey Man,R,Horror,1980,4.6,3900,Ulli Lommel,Suzanna Love,United States,300000,20205757,The Jerry Gross Organization,07/11/1980
The Nude Bomb,PG,Action,1980,5.1,3100,Clive Donner,Don Adams,United States,15000000,14662035,Universal Pictures,09/05/1980
Lion of the Desert,PG,Biography,1980,8.3,15000,Moustapha Akkad,Anthony Quinn,Libya,35000000,20205757,Falcon International Productions,16/05/1981
Stardust Memories,PG,Comedy,1980,7.3,22000,Woody Allen,Woody Allen,United States,10000000,10389003,Jack Rollins & Charles H. Joffe Productions,26/09/1980
Melvin and Howard,R,Comedy,1980,6.8,4500,Jonathan Demme,Paul Le Mat,United States,7000000,4309490,Universal Pictures,19/09/1980
Can't Stop the Music,PG,Biography,1980,4.2,3700,Nancy Walker,Ray Simpson,United States,20000000,20205757,EMI Films,20/06/1980
Bronco Billy,PG,Action,1980,6.1,11000,Clint Eastwood,Clint Eastwood,United States,6500000,24265659,Warner Bros.,11/06/1980
City of Women,R,Comedy,1980,7,6700,Federico Fellini,Marcello Mastroianni,Italy,20500000,12516,Opera Film Produzione,08/04/1981
The Private Eyes,PG,Comedy,1980,6.7,2900,Lang Elliott,Tim Conway,United States,20500000,20205757,Tri Star Productions,21/11/1980
When Time Ran Out...,PG,Action,1980,4.6,2600,James Goldstone,Paul Newman,United States,20000000,3763988,International Cinema,28/03/1980
Oh Heavenly Dog,PG,Comedy,1980,5.4,2400,Joe Camp,Chevy Chase,United States,6000000,6216067,Mulberry Square Productions,11/07/1980
